Hesperia leonardus
Hesperia metea
Hesperia sassacus
Hetaerina titia
Heterodon platirhinos
Heteromeyenia longistylus
Hydraecia immanis
Hydraecia stramentosa
Hyla chrysoscelis
Hylocichla mustelina
Hypagyrtis esther
Ichthyomyzon bdellium
Ichthyomyzon fossor
Ichthyomyzon greeleyi
Ictalurus furcatus
Icteria virens
Ictiobus cyprinellus
Idaea eremiata
Idaea violacearia
Ischnura kellicotti
Ischnura prognata
Ischnura ramburii
Isonychia hoffmani
Ixobrychus exilis
Kinosternon subrubrum subrubrum
Ladona deplanata
Ladona exusta
Lagoa crispata
Lampetra aepyptera
Lampsilis abrupta
Lampsilis cariosa
Lampsilis ovata
Lampsilis radiata
Lanius ludovicianus
Lasionycteris noctivagans
Lasmigona complanata
Lasmigona compressa
Lasmigona subviridis
Lemmeria digitalis
Lepisosteus oculatus
Lepomis gulosus
Lepomis megalotis
Leptodea fragilis
Leptodea ochracea
Leptoypha mutica
Lestes dryas
Lestes eurinus
Lethe eurydice
Leucorrhinia glacialis
Leucorrhinia proxima
Leucotrichia pictipes
Leuctra variabilis
Libellula auripennis
Libellula axilena
Libellula flavida
Libellula needhami
Ligumia nasuta
Limnophila alleni
Limnophila marchandi
Lithobates pipiens
Lithobates sphenocephalus utricularius
Lithomoia germana
Lithophane franclemonti
Lithophane thaxteri
Littoridinops tenuipes
Lota lota
Lota sp. cf. lota
Loxia curvirostra
Lycaena epixanthe
Lycaena hyllus
Lycia rachelae
Lymnaea catascopium
Lymnaea stagnalis
Lythrurus umbratilis
Macrochilo hypocritalis
Macromia alleghaniensis
Macromia taeniolata
Manduca jasminearum
Margariscus margarita
Margaritifera margaritifera
Marstonia lustrica
Megaleuctra flinti
Melanerpes erythrocephalus
Mesodon zaletus
Metarranthis apiciaria
Metarranthis sp. near duaria
Microtus chrotorrhinus
Minytrema melanops
Mniotilta varia
Myotis leibii
Myotis lucifugus
Myotis septentrionalis
Myotis sodalis
Nannothemis bella
Nasiaeschna pentacantha
Nastra lherminier
Necturus maculosus
Nehalennia integricollis
Nemoria tuscarora
Nemoura trispinosa
Neoephemera purpurea
Neoligia semicana
Neoperla choctaw
Neotoma magister
Nesovitrea binneyana
Nicrophorus americanus
Nocomis biguttatus
Notropis  dorsalis
Notropis amoenus
Notropis bifrenatus
Notropis blennius
Notropis buchanani
Notropis chalybaeus
Notropis heterodon
Notropis procne
Noturus eleutherus
Noturus gyrinus
Noturus insignis
Noturus miurus
Noturus stigmosus
Nyctanassa violacea
Nycticorax nycticorax
Obliquaria reflexa
Obovaria olivaria
Obovaria subrotunda
Olceclostera angelica
Opheodrys aestivus
Ophiogomphus anomalus
Ophiogomphus carolus
Ophiogomphus howei
Ophiogomphus incurvatus incurvatus
Ophiogomphus mainensis
Orconectes limosus
Oreonetides beattyi
Oreothlypis ruficapilla
Ostrocerca prolongata
Pallifera fosteri
Pallifera ohioensis
Pallifera secreta
Pallifera varia
Palpita magniferalis
Pandion haliaetus
Papaipema astuta
Papaipema baptisiae
Papaipema cerina
Papaipema duplicata
Papaipema eupatorii
Papaipema furcata
Papaipema limpida
Papaipema lysimachiae
Papaipema marginidens
Papaipema maritima
Papaipema necopina
Papaipema nelita
Papaipema nepheleptena
Papaipema rutila
Papaipema sp. 1
Papaipema sp. 2 nr. pterisii
Parahypenodes quadralis
Parapamea buffaloensis
Parkesia motacilla
Parkesia noveboracensis
Passerculus sandwichensis
Patera pennsylvanica
Percina bimaculata
Percina macrocephala
Percina peltata
Perimyotis subflavus
Perlinella drymo
Peromyscus maniculatus bairdii
Phanetta subterranea
Phoberia ingenua
Phyciodes cocyta
Physa vernalis
Pieris virginiensis
Pipilo erythrophthalmus
Piranga olivacea
Piranga rubra
Plagodis kuetzingi
Plestiodon anthracinus anthracinus
Plestiodon laticeps
Plethobasus cooperianus
Plethobasus cyphyus
Plethodon electromorphus
Pleurobema clava
Pleurobema cordatum
Pleurobema plenum
Pleurobema rubrum
Pleurobema sintoxia
Pleurocera proxima
Poanes massasoit
Poanes viator viator
Podiceps auritus
Podiceps grisegena
Podilymbus podiceps
Podosesia syringae
Polites mystic
Polygonia faunus
Polyodon spathula 
Pomatiopsis lapidaria
Pooecetes gramineus
Porrhomma cavernicola
Porzana carolina
Potamilus ohiensis
Progne subis
Progomphus obscurus
Promenetus exacuous
Properigea costa
Protonotaria citrea
Psectraglaea carnosa
Pseudacris brachyphona
Pseudacris feriarum
Pseudacris kalmi
Pseudacris triseriata
Pseudanophthalmus sp. nov.
Pseudemys rubriventris
Pseudotriton montanus montanus
Pupilla muscorum
Pupoides albilabris
Pyrgus wyandot
Pyrrhia aurantiago
Quadrula cylindrica cylindrica
Quadrula metanevra
Quadrula pustulosa
Quadrula quadrula
Quadrula verrucosa
Rallus elegans
Rallus limicola
Regina septemvittata
Rhionaeschna mutata
Rhyacophila otica
Riparia riparia
Salvelinus fontinalis
Satyrium acadica
Satyrium edwardsii
Satyrium favonius ontario
Satyrium titus
Scaphiopus holbrookii
Sceloporus undulatus  
Schizura apicalis
Sciurus niger vulpinus
Scolopax minor
Semiothisa promiscuata
Setophaga caerulescens
Setophaga cerulea
Setophaga citrina
Setophaga discolor
Setophaga fusca
Setophaga striata
Setophaga virens
Sideridis maryx
Simpsonaias ambigua
Singa eugeni
Siphloplecton basale
Sistrurus catenatus catenatus
Somatochlora elongata
Somatochlora forcipata
Somatochlora incurvata
Somatochlora linearis
Somatochlora walshii
Somatochlora williamsoni
Somatogyrus integra
Somatogyrus pennsylvanicus
Sorex cinereus fontinalis
Sorex dispar
Sorex palustris albibarbis
Sorex palustris punctulatus
Soyedina merritti
Speranza exonerata
Speyeria atlantis
Speyeria idalia
Sphalloplana pricei
Sphinx chersis
Sphinx franckii
Sphinx gordius
Spilogale putorius
Spinus pinus
Spiza americana
Spizella pusilla
Stamnodes gibbicostata
Stenotrema barbatum
Sterna hirundo
Sthenopis auratus
Strobilops labyrinthicus
Strobilops texasianus
Sturnella magna
Stygobromus allegheniensis
Stygobromus biggersi
Stygobromus franzi
Stygobromus gracilipes
Stygobromus pizzinii
Stygobromus stellmacki
Stygobromus tenuis potomacus
Stylurus amnicola
Stylurus notatus
Stylurus plagiatus
Stylurus scudderi
Sutyna privata
Sweltsa palearata
Sylvilagus obscurus
Sympetrum ambiguum
Sympetrum costiferum
Sympetrum internum
Sympetrum semicinctum
Sympistis dentata
Syngrapha epigaea
Tachopteryx thoreyi
Terrapene carolina carolina
Tethida barda
Thamnophis brachystoma
Thamnophis sauritus
Thorybes bathyllus
Tipula williamsiana
Tolype notialis
Toxolasma parvum
Triodopsis fraudulenta
Triodopsis juxtidens
Triodopsis vulgata
Troglodytes hiemalis
Truncilla donaciformis
Truncilla truncata
Typhlogastrura helleri
Tyto alba
Umbra limi
Umbra pygmaea
Utaperla gaspesiana
Valvata tricarinata
Ventridens virginicus
Vermivora chrysoptera
Vermivora cyanoptera
Vertigo bollesiana
Vertigo cristata
Vertigo milium
Vertigo ovata
Vertigo pygmaea
Vertigo tridentata
Vertigo ventricosa
Villosa fabalis
Villosa iris
Virbia laeta
Virbia nigricans
Virginia valeriae pulchra–PFBC
Virginia valeriae valeriae–PFBC
Vitrina angelicae
Webbhelix multilineata
Xestia elimata
Xylotype capax
Zale curema
Zale lunifera
Zale obliqua
Zale squamularis
Zale submediana
Zanclognatha martha
Zonitoides nitidus
Zonotrichia albicollis
