ELCODE,Group,CommonName,ScientificName,Terrestrial/Aquatic,Focal Season,eBird,eBird_Comments,spring_start,spring_end,breed_start,breed_end,fall_start,fall_end
ABNJB16010,Birds,Long-tailed Duck,Clangula hyemalis,,Migration,Yes,Correct,,,,,,
ABPBX10030,Birds,Louisiana Waterthrush,Parkesia motacilla,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPBG10020,Birds,Marsh Wren,Cistothorus palustris,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPBX01060,Birds,Nashville Warbler,Oreothlypis ruficapilla,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABNKC12060,Birds,Northern Goshawk,Accipiter gentilis,,Winter,Yes,Correct,,,,,,
ABNKC12060,Birds,Northern Goshawk,Accipiter gentilis,,Migration,Yes,Correct,,,,,,
ABNKC11010,Birds,Northern Harrier,Circus cyaneus,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABNSB15020,Birds,Northern Saw-whet Owl,Aegolius acadicus,Terrestrial,Breeding,Yes,Correct,,,,,,
ABNSB15020,Birds,Northern Saw-whet Owl,Aegolius acadicus,,Migration,Yes,Correct,,,,,,
ABPBX10020,Birds,Northern Waterthrush,Parkesia noveboracensis,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPAE32010,Birds,Olive-sided Flycatcher,Contopus cooperi,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABNKC01010,Birds,Osprey,Pandion haliaetus,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABNKD06070,Birds,Peregrine Falcon,Falco peregrinus,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABNCA02010,Birds,Pied-billed Grebe,Podilymbus podiceps,Terrestrial,Breeding,Yes,Correct,,,,,,
ABPBY06030,Birds,Pine Siskin,Spinus pinus,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABNNB03070,Birds,Piping Plover (Great Lakes population),Charadrius melodus,Terrestrial,Breeding,Yes,Correct,,,,,,
ABNNB03070,Birds,Piping Plover (Great Lakes population),Charadrius melodus,,Migration,Yes,Correct,,,,,,
ABPBX03190,Birds,Prairie Warbler,Setophaga discolor,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPBX07010,Birds,Prothonotary Warbler,Protonotaria citrea,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPAU01010,Birds,Purple Martin,Progne subis,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPBY05010,Birds,Red Crossbill,Loxia curvirostra,Terrestrial,Breeding,Yes,Correct,,,,,,
ABPBY05010,Birds,Red Crossbill,Loxia curvirostra,,Winter,Yes,Correct,,,,,,
ABNNF11021,Birds,Red Knot,Calidris canutus rufa,Terrestrial,Migration,Yes,Correct,,,,,,
ABNYF04040,Birds,Red-headed Woodpecker,Melanerpes erythrocephalus,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABNCA03020,Birds,Red-necked Grebe,Podiceps grisegena,Aquatic,Winter,Yes,Correct,,,,,,
ABNLC11010,Birds,Ruffed Grouse,Bonasa umbellus,Terrestrial,Breeding,Yes,Correct,,,,,,
ABNLC11010,Birds,Ruffed Grouse,Bonasa umbellus,,Winter,Yes,Correct,,,,,,
ABPBXB5010,Birds,Rusty Blackbird,Euphagus carolinus,Terrestrial,Migration,Yes,Correct,,,,,,
ABPBXB5010,Birds,Rusty Blackbird,Euphagus carolinus,,Winter,Yes,Correct,,,,,,
ABPBX99010,Birds,Savannah Sparrow,Passerculus sandwichensis,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPBX45040,Birds,Scarlet Tanager,Piranga olivacea,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPBG10010,Birds,Sedge Wren,Cistothorus platensis,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABNKC12020,Birds,Sharp-shinned Hawk,Accipiter striatus,Terrestrial,Breeding,Yes,Correct,,,,,,
ABNKC12020,Birds,Sharp-shinned Hawk,Accipiter striatus,,Migration,Yes,Correct,,,,,,
ABNSB13040,Birds,Short-eared Owl,Asio flammeus,Terrestrial,Breeding,Yes,Correct,,,,,,
ABNSB13040,Birds,Short-eared Owl,Asio flammeus,,Winter,Yes,Correct,,,,,,
ABNME08020,Birds,Sora,Porzana carolina,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABNNF04020,Birds,Spotted Sandpiper,Actitis macularius,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPBX45030,Birds,Summer Tanager,Piranga rubra,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPBJ18100,Birds,Swainson's Thrush,Catharus ustulatus,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABNJB02010,Birds,Tundra Swan,Cygnus columbianus,Terrestrial,Migration,Yes,Correct,,,,,,
ABNNF06010,Birds,Upland Sandpiper,Bartramia longicauda,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPBX95010,Birds,Vesper Sparrow,Pooecetes gramineus,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABNME05030,Birds,Virginia Rail,Rallus limicola,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPBXA4020,Birds,White-throated Sparrow,Zonotrichia albicollis,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPAE33040,Birds,Willow Flycatcher,Empidonax traillii,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABNNF18030,Birds,Wilson's Snipe,Gallinago delicata,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPBG09050,Birds,Winter Wren,Troglodytes hiemalis,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPBJ19010,Birds,Wood Thrush,Hylocichla mustelina,Terrestrial,Breeding,Yes,Correct,,,,,,
ABPBJ19010,Birds,Wood Thrush,Hylocichla mustelina,,Migration,Yes,Correct,,,,,,
ABPAE33010,Birds,Yellow-bellied Flycatcher,Empidonax flaviventris,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPBX24010,Birds,Yellow-breasted Chat,Icteria virens,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABNGA13010,Birds,Yellow-crowned Night-Heron,Nyctanassa violacea,Terrestrial,Breeding,Maybe,Correct,,,,,,
