ELCODE,Group_,CommonName,ScientificName,Terrestrial_Aquatic,BBA_Density,BBA_Other,eBird,SDM,NALCC_Landscape_Capability,NALCC_Suitable_Habitat,EO_Data,CPP,AppLCC_caves,Xerces,Habitat_Associations,PARS,PGC_Databases,Citizen_Science,Notes,F21,F22,F23,F24,F25,F26,OBJECTID,SNAME,Cnt_SNAME,First_TaxaGroup,First_ELCODE,First_SCOMNAME
IMGASF4060,Snails,--,Amnicola decisus,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,93,,,,,
IIEPH34030,Mayflies,A Mayfly,Anafroptilum semirufum,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,94,,,,,
ABNJB10010,Birds,Green-winged Teal,Anas crecca,Terrestrial,n/a,Yes,Yes,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,,,,,,,,,95,,,,,
ABNJB10130,Birds,Blue-winged Teal,Anas discors,Terrestrial,n/a,Yes,Yes,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,96,,,,,
ABNJB10040,Birds,American Black Duck,Anas rubripes,Terrestrial,n/a,Yes,Yes,n/a,https://nalcc.databasin.org/maps/d4da1730b27b411dbeb6260f3c1158f8,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,97,,,,,
AAABB01210,Amphibians,Fowler's Toad,Anaxyrus fowleri,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,Yes,,,,,,,,,,98,,,,,
AAAAD01010,Amphibians,Green Salamander,Aneides aeneus,Terrestrial,n/a,n/a,n/a,Yes - PNHP SGCN,n/a ,n/a ,Yes,Yes,n/a ,n/a,,Yes,,,,,,,,,,99,,,,,
AFCEA01010,Fish,American Eel,Anguilla rostrata,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,,,n/a ,,,,,,,,,,100,,,,,
IMGAS53010,Snails,Flamed Tigersnail,Anguispira alternata,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,101,,,,,
IMGAS53030,Snails,Coastal Plain Disc,Anguispira fergusoni,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,102,,,,,
IMGAS53070,Snails,Banded Globe,Anguispira kochi,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,103,,,,,
ABNTA07070,Birds,Eastern Whip-poor-will,Antrostomus vociferus,Terrestrial,n/a,Yes,Maybe,Yes - PNHP SGCN,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,,,,,,,,,104,,,,,
IMGASF4060,Snails,Moss Bladder Snail,Aplexa hypnorum,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,105,,,,,
IILEU24010,Lepidoptera,New Jersey Tea Inchworm,Apodrepanulatrix liberaria,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,106,,,,,
IIORT11020,Grasshoppers,Appalachian Grasshopper,Appalachia hebardi,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,107,,,,,
IMGAS95320,Snails,Spike-lip Crater,Appalachina sayana,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,108,,,,,
ABNKC22010,Birds,Golden Eagle,Aquila chrysaetos,Terrestrial,n/a,n/a,Yes,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,109,,,,,
IMGAS63030,Spiders,A Ghost Spider,Arachosia cubana,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,110,,,,,
ABNGA04040,Birds,Great Egret,Ardea alba,Terrestrial,n/a,Yes,Maybe,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,,,,,,,,,111,,,,,
IIEPH61010,Mayflies,,Arthroplea bipunctata,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,112,,,,,
ABNSB13040,Birds,Short-eared Owl,Asio flammeus,Terrestrial,n/a,Yes,Yes,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,,,,,,,,,113,,,,,
ABNSB13010,Birds,Long-eared Owl,Asio otus,Terrestrial,n/a,Yes,Maybe,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,,,,,,,,,114,,,,,
IIPLE1M010,Stoneflies,Giant Stone,Attaneuria ruralis,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,115,,,,,
IILEP14010,Lepidoptera,Golden-banded Skipper,Autochton cellus,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,116,,,,,
ABNJB11070,Birds,Lesser Scaup,Aythya affinis,Terrestrial,n/a,n/a,Yes,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,117,,,,,
ABNNF06010,Birds,Upland Sandpiper,Bartramia longicauda,Terrestrial,n/a,Yes,Maybe,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,,,,,,,,,118,,,,,
ILARA46010,Spiders,Weyer's Sheetweb Cave Spider,Bathyphantes weyeri,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,119,,,,,
IMGASF7010,Snails,Globe Slitsnail,Birgella subglobosa,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,120,,,,,
IIHYM24020,Bees,Rusty-patched Bumble Bee,Bombus affinis,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,Yes,Maybe,n/a ,,,,,,,,,,121,,,,,
IIHYM24360,Bees,Ashton Cuckoo Bumble Bee,Bombus ashtoni,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,Yes,Maybe,n/a ,,,,,,,,,,122,,,,,
IIHYM24220,Bees,Yellow-banded Bumbee Bee,Bombus terricola,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,Yes,Maybe,n/a ,,,,,,,,,,123,,,,,
ABNLC11010,Birds,Ruffed Grouse,Bonasa umbellus,Terrestrial,Yes,Yes,Yes,n/a,https://nalcc.databasin.org/maps/d4da1730b27b411dbeb6260f3c1158f8,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,124,,,,,
ABNGA01020,Birds,American Bittern,Botaurus lentiginosus,Terrestrial,n/a,Yes,Maybe,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,,,,,,,,,125,,,,,
IILEYG6010,Lepidoptera,Boreal Fan Moth,Brachionycha borealis,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,126,,,,,
ABNKC19050,Birds,Broad-winged Hawk,Buteo platypterus,Terrestrial,Yes,Yes,Yes,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,127,,,,,
ABNNF11021,Birds,Red Knot,Calidris canutus rufa,Terrestrial,n/a,n/a,Yes,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,128,,,,,
IIODO65040,Odonates,Sparkling Jewelwing,Calopteryx dimidiata,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,129,,,,,
ABPBX16030,Birds,Canada Warbler,Cardellina canadensis,Terrestrial,Yes,Yes,,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,130,,,,,
ARADB02011,Reptiles,Eastern Worm Snake,Carphophis amoenus amoenus–PFBC,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,Yes,,,,,,,,,,131,,,,,
IMGAS07050,Snails,File Thorn,Carychium nannodes,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,132,,,,,
ABPBJ18100,Birds,Swainson's Thrush,Catharus ustulatus,Terrestrial,n/a,Yes,Maybe,Yes - PNHP SGCN,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,,,,,,,,,133,,,,,
IILEY89140,Lepidoptera,Angus' Underwing,Catocala angusi,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,134,,,,,
IILEY89210,Lepidoptera,Dejected Underwing,Catocala dejecta,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,135,,,,,
IILEY89A40,Lepidoptera,Sweet Underwing,Catocala dulciola,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,136,,,,,
IILEY89110,Lepidoptera,Robinson's Underwing,Catocala robinsonii,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,137,,,,,
IILEY89B70,Lepidoptera,Shadow Underwing,Catocala umbrosa,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,138,,,,,
AFCJC02030,Fish,Longnose Sucker,Catostomus catostomus,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,,,,,,,,,139,,,,,
IIODO37060,Odonates,Martha's Pennant,Celithemis martha,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,140,,,,,
IITRI2A070,Caddisflies,Alabama Long-horned Caddisfly,Ceraclea alabamae,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,141,,,,,
IITRI2A260,Caddisflies,White-spotted Long-horned Caddisfly,Ceraclea albosticta,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,142,,,,,
IILEY9S010,Lepidoptera,A Bird-dropping Moth,Cerma cora,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,143,,,,,
ABPBA01010,Birds,Brown Creeper,Certhia americana,Terrestrial,Yes,Yes,,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,144,,,,,
ABNUA03010,Birds,Chimney Swift,Chaetura pelagica,Terrestrial,Yes,Yes,,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,145,,,,,
ABNNB03070,Birds,Piping Plover (Great Lakes population),Charadrius melodus,Terrestrial,n/a,n/a,Yes,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,,,,,,,,,146,,,,,
ABNNM10020,Birds,Black Tern,Chlidonias niger,Terrestrial,n/a,Yes,Maybe,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,,,,,,,,,147,,,,,
ABNTA02020,Birds,Common Nighthawk,Chordeiles minor,Terrestrial,n/a,Yes,Maybe,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,148,,,,,
IIEPH58010,Mayflies,,Choroterpes basalis,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,149,,,,,
AFCJB31020,Fish,Northern Redbelly Dace,Chrosomus eos,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,150,,,,,
AFCJB31030,Fish,Southern Redbelly Dace,Chrosomus erythrogaster,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,151,,,,,
IICOL02070,Tiger Beetles,Appalachian Tiger Beetle,Cicindela ancocisconensis,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,152,Cicindela ancocisconensis,1,IT,IICOL02070,Appalachian tiger beetle
IICOL02060,Tiger Beetles,Cobblestone Tiger Beetle,Cicindela marginipennis,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,153,Cicindela marginipennis,6,IT,IICOL02060,cobblestone tiger beetle
IICOL02230,Tiger Beetles,northern barrens tiger beetle,Cicindela patruela,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,154,Cicindela patruela,1,IT,IICOL02230,northern barrens tiger beetle
IILEV03010,Lepidoptera,Melsheimer's Sack Bearer,Cicinnus melsheimeri,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,155,Cicinnus melsheimeri,1,IB,IILEV03010,Melsheimer's Sack Bearer
IILEY1N140,Lepidoptera,Packard's Lichen Moth,Cisthene packardii,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,156,Cisthene packardii,3,IB,IILEY1N140,Packard's Lichen Moth
IILEY1N090,Lepidoptera,Lead-colored Lichen Moth,Cisthene plumbea,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,157,Cisthene plumbea,1,IB,IILEY1N090,Lead-colored Lichen Moth
IILEW0G030,Lepidoptera,Pine Devil,Citheronia sepulcralis,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,158,Citheronia sepulcralis,4,IB,IILEW0G030,Pine Devil
IIODO70010,Odonates,Taiga Bluet,Coenagrion resolutum,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,159,Coenagrion resolutum,1,ID,IIODO70010,Taiga Bluet
IILEPA8140,Lepidoptera,Pink-edged Sulphur,Colias interior,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,160,Colias interior,1,IB,IILEPA8140,Pink-edged Sulphur
IIODO03090,Odonates,Brown Spiketail,Cordulegaster bilineata,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,161,Cordulegaster bilineata,2,ID,IIODO03090,Brown Spiketail
IIODO03040,Odonates,Tiger Spiketail,Cordulegaster erronea,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,162,Cordulegaster erronea,2,ID,IIODO03040,Tiger Spiketail
IIODO03070,Odonates,Arrowhead Spiketail,Cordulegaster obliqua,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,163,Cordulegaster obliqua,2,ID,IIODO03070,Arrowhead Spiketail
IIODO27010,Odonates,American Emerald,Cordulia shurtleffi,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,164,Cordulia shurtleffi,17,ID,IIODO27010,American Emerald
IILEY1H110,Lepidoptera,Pure Lichen Moth,Crambidia pura,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,165,Crambidia pura,1,IB,IILEY1H110,Pure Lichen Moth
ICMAL06010,Cave Invertebrates,--,Crangonyx dearolfi,Subterranean,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,Yes - dataset is forthcoming,n/a,,n/a ,,,,,,,,,,166,Crangonyx dearolfi,5,IO,ICMAL06010,Pennsylvania Cave Amphipod
IMBIV09010,Mussels,Purple Wartyback,Cyclonaias tuberculata,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,,,,,,,,,167,Cyclonaias tuberculata,16,IU,IMBIV09010,Purple Wartyback
IMBIV10020,Mussels,Fanshell,Cyprogenia stegaria,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,,,,,,,,,168,Cyprogenia stegaria,5,IU,IMBIV10020,Fanshell
IILEY02100,Lepidoptera,A Hand-maid Moth,Datana ranaeceps,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,169,Datana ranaeceps,4,IB,IILEY02100,A Hand-maid Moth
IILEYLC020,Lepidoptera,Red Dart Moth,Diarsia rubifera,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,170,Diarsia rubifera,2,IB,IILEYLC020,
IMGAS54090,Snails,Domed Disc,Discus patulus,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,171,Discus patulus,1,IO,IMGAS54090,Domed Disc
IIODO28010,Odonates,Petite Emerald,Dorocordulia lepida,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,172,Dorocordulia lepida,18,ID,IIODO28010,Petite Emerald
IICOL03010,Other Beetles,Six-banded Longhorn Beetle,Dryobius sexnotatus,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,173,Dryobius sexnotatus,9,IO,IICOL03010,Six-banded Longhorn Beetle
IMBIV13010,Mussels,Butterfly,Ellipsaria lineolata,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,,,,,,,,,174,Ellipsaria lineolata,10,IU,IMBIV13010,Butterfly Mussel
IMBIV14080,Mussels,Elephant Ear,Elliptio crassidens,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,,,,,,,,,175,Elliptio crassidens,17,IU,IMBIV14080,Elephant Ear
IIODO71010,Odonates,Boreal Bluet,Enallagma boreale,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,176,Enallagma boreale,8,ID,IIODO71010,Boreal Bluet
IIODO71160,Odonates,Turquoise Bluet,Enallagma divagans,Aquatic/Terrestrial(generalist),n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,177,Enallagma divagans,9,ID,IIODO71160,Turquoise Bluet
IIODO71190,Odonates,Big Bluet,Enallagma durum,Aquatic/Terrestrial(generalist),n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,178,Enallagma durum,2,ID,IIODO71190,Big Bluet
IIODO71020,Odonates,New England Bluet,Enallagma laterale,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,179,Enallagma laterale,3,ID,IIODO71020,New England Bluet
IILEYFL020,Lepidoptera,Pointed Sallow,Epiglaea apiata,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,180,Epiglaea apiata,13,IB,IILEYFL020,Pointed Sallow
IMBIV16184,Mussels,Northern Riffleshell,Epioblasma torulosa rangiana,Aquatic,n/a,n/a,n/a,n/a,n/a,n/a ,Yes,n/a,n/a,n/a,,n/a ,,,,,,,,,,181,Epioblasma torulosa rangiana,134,IU,IMBIV16184,Northern Riffleshell
IMBIV16190,Mussels,Snuffbox,Epioblasma triquetra,Aquatic,n/a,n/a,n/a,n/a,n/a,n/a ,Yes,n/a,n/a,n/a,,n/a ,,,,,,,,,,182,Epioblasma triquetra,60,IU,IMBIV16190,Snuffbox
IILEU28030,Lepidoptera,Broad-lined Erastria Moth,Erastria coloraria,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,183,Erastria coloraria,2,IB,IILEU28030,Broad-lined Erastria Moth
IILEP37140,Lepidoptera,Columbine Duskywing,Erynnis lucilius,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,184,Erynnis lucilius,3,IB,IILEP37140,Columbine Duskywing
IILEP37100,Lepidoptera,Mottled Duskywing,Erynnis martialis,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,185,Erynnis martialis,3,IB,IILEP37100,Mottled Duskywing
IILEP37171,Lepidoptera,Persius Duskywing,Erynnis persius persius,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,186,Erynnis persius persius,7,IB,IILEP37171,Persius Duskywing
IILEPA5040,Lepidoptera,Olympia Marble,Euchloe olympia,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,187,Euchloe olympia,3,IB,IILEPA5040,Olympia Marble
IILEPK4060,Lepidoptera,Baltimore,Euphydryas phaeton,Terrestrial,n/a,n/a,n/a,Yes - PNHP SGCN,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,188,Euphydryas phaeton,58,IB,IILEPK4060,Baltimore
IILEP77060,Lepidoptera,Black Dash,Euphyes conspicuus,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,189,Euphyes conspicuus,42,IB,IILEP77060,Black Dash
IILEP77030,Lepidoptera,Dion Skipper,Euphyes dion,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,190,Euphyes dion,10,IB,IILEP77030,Dion Skipper
IILEPB9010,Lepidoptera,Harvester,Feniseca tarquinius,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,191,Feniseca tarquinius,5,IB,IILEPB9010,Harvester
IMBIV17070,Mussels,Wabash Pigtoe,Fusconaia flava,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,,,,,,,,,192,Fusconaia flava,64,IU,IMBIV17070,Wabash Pigtoe
IMBIV17120,Mussels,Long-solid,Fusconaia subrotunda,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,,,,,,,,,193,Fusconaia subrotunda,86,IU,IMBIV17120,Long-solid
IILEPG4024,Lepidoptera,Silvery Blue,Glaucopsyche lygdamus lygdamus,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,194,Glaucopsyche lygdamus lygdamus,2,IB,IILEPG4024,Silvery Blue
IILEU0S060,Lepidoptera,Blueberry Gray,Glena cognataria,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,195,Glena cognataria,2,IB,IILEU0S060,Blueberry Gray
IIODO20010,Odonates,Taper-tailed Darner,Gomphaeschna antilope,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,196,Gomphaeschna antilope,5,ID,IIODO20010,Taper-tailed Darner
IIODO20020,Odonates,Harlequin Darner,Gomphaeschna furcillata,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,197,Gomphaeschna furcillata,10,ID,IIODO20020,Harlequin Darner
IIODO08410,Odonates,Spine-crowned Clubtail,Gomphus abbreviatus,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,198,Gomphus abbreviatus,21,ID,IIODO08410,Spine-crowned Clubtail
IIODO08420,Odonates,Mustached Clubtail,Gomphus adelphus,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,199,Gomphus adelphus,10,ID,IIODO08420,Mustached Clubtail
IIODO08120,Odonates,Midland Clubtail,Gomphus fraternus,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,200,Gomphus fraternus,13,ID,IIODO08120,Midland Clubtail
