ELCODE,Group_,CommonName,ScientificName,Terrestrial_Aquatic,BBA_Density,BBA_Other,eBird,SDM,NALCC_Landscape_Capability,NALCC_Suitable_Habitat,EO_Data,CPP,AppLCC_caves,Xerces,Habitat_Associations,PARS,PGC_Databases,Citizen_Science,Notes,F21,F22,F23,F24,F25,F26,OBJECTID,SNAME,Cnt_SNAME,First_TaxaGroup,First_ELCODE,First_SCOMNAME
IIODO68070,Odonates,Blue-ringed Dancer,Argia sedula,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,22,Argia sedula,3,ID,IIODO68070,Blue-ringed Dancer
IIODO81050,Odonates,Lilypad Clubtail,Arigomphus furcifer,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,23,Arigomphus furcifer,14,ID,IIODO81050,Lilypad Clubtail
IILEW07010,Lepidoptera,Dot-lined White Moth,Artace cribraria,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,24,Artace cribraria,1,IB,IILEW07010,Dot-lined White Moth
IILEP79010,Lepidoptera,Dusted Skipper,Atrytonopsis hianna,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,25,Atrytonopsis hianna,7,IB,IILEP79010,Dusted Skipper
IILEYAG020,Lepidoptera,Straight Lined Mallow Moth,Bagisara rectifascia,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,26,Bagisara rectifascia,1,IB,IILEYAG020,Straight Lined Mallow Moth
IILEPJ7031,Lepidoptera,Silver-bordered Fritillary,Boloria selene myrina,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,27,Boloria selene myrina,13,IB,IILEPJ7031,Silver Bordered Fritillary
ICMAL01020,Cave Invertebrates,--,Caecidotea franzi,Subterranean,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,Yes - dataset is forthcoming,n/a,,n/a ,,,,,,,,,,28,Caecidotea franzi,1,IO,ICMAL01020,Franz's Cave Isopod
ICMAL01140,Cave Invertebrates,--,Caecidotea kenki,Subterranean,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,Yes - dataset is forthcoming,n/a,,n/a ,,,,,,,,,,29,Caecidotea kenki,7,IO,ICMAL01140,An Isopod
ICMAL01010,Cave Invertebrates,--,Caecidotea pricei,Subterranean,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,Yes - dataset is forthcoming,n/a,,n/a ,,,,,,,,,,30,Caecidotea pricei,35,IO,ICMAL01010,Price's Cave Isopod
IILEPH2020,Lepidoptera,Northern Metalmark,Calephelis borealis,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,31,Calephelis borealis,17,IB,IILEPH2020,Northern Metalmark
